Average_of_Ratings,Average_Number_of_Reviews,Total_Number_of_Reviews,Total_Returned,Data_License
3.8,45,90,2,19012
4.1,212,212,1,19267
4.3,706,706,1,19347
4.4,317,317,1,19419
4.1,776,776,1,19524
3.97,167.67,503,3,19826
4.2,692,692,1,19834
4.4,946,946,1,19856
4.3,145,725,5,19862
4.1,45,90,2,20068
4.2,336,336,1,20184
3.95,866.75,6934,8,20432
5,1,1,1,20440
4.1,210,210,1,20613
4,69,138,2,20717
4.47,436.5,1746,4,20789
3.9,459,918,2,20973
4.4,881,881,1,21159
2.95,115.5,231,2,21164
4.9,8,16,2,21262
4.2,164,164,1,21275
4.6,25,25,1,21387
3.17,66.57,466,7,21478
4.25,445.75,1783,4,21539
4.4,265,530,2,21547
3.2,32,64,2,21565
3.8,183,183,1,21595
2.9,189,189,1,21772
2.9,189,189,1,21773
3.05,520.5,2082,4,21793
4.9,7,7,1,21803
4.7,188,376,2,21943
4.25,444,888,2,22003
3.4,12,12,1,22031
2.5,11,33,3,22041
2.7,7,7,1,22061
0,0,0,1,22062
4.4,23,46,2,22071
4,53,53,1,22081
4.2,14,14,1,22091
4,8,16,2,22121
4,22,22,1,22141
4.5,26,26,1,22171
3.45,8,16,2,22191
4.1,13,39,3,22201
3.6,25,50,2,22211
3.9,13,13,1,22221
3.2,30,30,1,22261
4.2,18,18,1,22281
2.6,26,52,2,22301
4.55,14.5,29,2,22311
3.9,28,28,1,22321
4.2,15,30,2,22351
4,19,19,1,22391
4.05,20.5,41,2,22401
3.9,14,14,1,22421
4.5,16,16,1,22481
4.1,10,10,1,22501
3.9,26,26,1,22521
4.3,26,26,1,22531
4.1,9,18,2,22571
4.05,9.5,57,6,22573
4.4,9,9,1,22611
2.6,11,11,1,22621
2.7,3,6,2,22651
4.1,31,62,2,22661
4.28,255.75,1023,4,22662
3.7,9,18,2,22671
4.5,476,952,2,22676
3.8,10,10,1,22681
3.7,106,106,1,22697
4.3,19,19,1,22702
4.3,21,21,1,22706
4.65,270,540,2,22709
4.42,111.5,446,4,22721
3.2,34,34,1,22751
2.3,17,17,1,22761
4,15,15,1,22801
4,1352,2704,2,22811
4.6,14,14,1,22821
3,7,7,1,22831
4.7,10,10,1,22832
3.7,10,20,2,22851
3.5,20,20,1,22871
2.47,15,45,3,22881
4.1,13,13,1,22891
4.5,73,73,1,22897
3.85,17,34,2,22901
4.25,708.5,1417,2,22926
4.4,281,562,2,22936
4.2,19,19,1,22941
4.3,215,215,1,22952
4.9,132,132,1,22997
3.2,14,14,1,23001
2.16,1.56,14,9,23021
3.7,22,22,1,23041
3.8,14,14,1,23101
3,12,12,1,23131
1.7,2.5,5,2,23141
3.8,17,17,1,23161
3.03,35,245,7,23211
4.03,159.5,638,4,23225
3.7,17,17,1,23261
3.7,9,9,1,23271
3.5,23,23,1,23291
3.3,14,28,2,23301
3.4,32,32,1,23311
3.2,14,14,1,23325
3.7,104,104,1,23327
3.8,92,92,1,23333
4.8,24,24,1,23341
4.6,326,326,1,23363
4.2,296,296,1,23369
3.3,7,7,1,23411
5,1,1,1,23441
3.6,10,10,1,23461
4.1,10,10,1,23462
4.23,16,96,6,23491
4.1,211,422,2,23496
3.7,13,13,1,23501
3.2,14,28,2,23531
4.9,15,30,2,23551
4.5,16,16,1,23561
4.48,7.8,39,5,23562
4.5,456,456,1,23577
4.2,25,25,1,23591
3.7,23,46,2,23611
3,1,1,1,23612
4.35,270,540,2,23619
3.9,36,72,2,23621
4.15,22,44,2,23641
4,4,4,1,23671
4.6,122,122,1,23683
2,10.5,21,2,23752
4.6,11,11,1,23772
3.8,20,20,1,23821
3.4,13,26,2,23851
3.9,8,32,4,23901
3.2,26,26,1,23911
3.9,366,366,1,23917
4.3,20,20,1,23921
3,20,20,1,23951
4.5,10,10,1,23961
4.9,10,10,1,23971
4.8,5,5,1,23981
4.1,7,7,1,23991
2.8,17,17,1,24011
3.2,24,48,2,24021
3.8,8,8,1,24051
4.4,8,8,1,24102
3.3,23,23,1,24151
4.37,9.33,28,3,24191
4.4,11.5,23,2,24201
4.5,38,38,1,24221
2.8,32,32,1,24231
4.4,285,285,1,24239
3.8,15,15,1,24241
3.4,15,15,1,24251
3.9,54,108,2,24281
3.2,5,10,2,24311
4,27,27,1,24341
3.7,7,7,1,24371
3.8,12,24,2,24382
4.7,102,204,2,24438
0,0,0,1,24462
4.8,6,6,1,24481
3.9,37,37,1,24531
4.8,16,16,1,24551
1.92,14.8,74,5,24571
3.5,10,10,1,24591
4.7,8659,8659,1,24601
3.5,19,38,2,24611
3.5,13,26,2,24621
3.3,17,34,2,24641
4.4,31,31,1,24661
4.1,29,58,2,24671
3.6,21,21,1,24681
3.6,21,21,1,24682
3.5,25,25,1,24691
3.93,206.33,619,3,24692
4.57,119.67,359,3,24696
4.8,4,4,1,24711
3.3,28,28,1,24721
3.6,26,26,1,24731
4,16,16,1,24751
4.3,6,6,1,24761
4.1,27,54,2,24821
4.35,166,332,2,24851
4.3,28,28,1,24871
4.35,8.5,17,2,24881
4.3,144,144,1,24883
3.1,9,9,1,24911
4.1,21,21,1,24931
4.1,40,40,1,24941
0,0,0,3,24951
3.8,16,16,1,24961
3.8,12,12,1,24971
