Average_of_Ratings,Average_Number_of_Reviews,Total_Number_of_Reviews,Total_Returned,Data_License
4.2,217,217,1,82246
3.9,486,486,1,82474
4.7,416,416,1,83069
4.6,266,266,1,83340
4,5,20,4,83345
4.4,21,21,1,83462
4.4,159,159,1,83740
4.3,124,124,1,83774
4.3,189,378,2,83788
4.3,284,284,1,84375
4.2,592,592,1,84625
4.6,853,853,1,84648
4.5,294,294,1,85112
3.9,13,26,2,85114
4,121,121,1,86092
4.25,376.75,3014,8,86179
3,8,8,1,86519
4.5,370,740,2,86616
4.5,545,545,1,87119
1.5,1.5,3,2,426529
4.5,138,276,2,1000774
3.9,24.25,194,8,1000894
4.55,612,3672,6,1042664
3.9,53,53,1,1042702
4.3,1037,1037,1,1042888
4,381,381,1,1042895
4.2,175.5,351,2,1042910
3.7,27,27,1,1043422
4.6,132,132,1,1044031
3.8,803.6,4018,5,1044092
4.53,2383.75,19070,8,1044650
3.93,433,1299,3,1044860
4.5,366,366,1,1044933
4.8,74,74,1,1044988
4.1,144,288,2,1045634
4.4,123,246,2,1046040
4.3,167,167,1,1046801
3.7,556,1112,2,1047084
5,5,15,3,1047126
4.2,11,55,5,1047168
3.6,60,120,2,1047362
4.6,622,1244,2,1069067
4.4,143,286,2,1069298
4.3,1333,1333,1,1069683
1.9,46,138,3,1069788
4.4,176,176,1,1070144
3.5,4,4,1,1091817
4.3,4,4,1,1091886
4.5,590,590,1,1092172
4.6,225,225,1,1092373
4.6,450,450,1,1092376
4.5,42,42,1,1092445
4.4,97,97,1,1092597
4.3,145,145,1,1095180
3.87,90.33,271,3,1095974
4.7,645,1935,3,1096007
3.2,152,304,2,1096355
4.2,2587,2587,1,1096426
4.5,421,842,2,1119378
4.1,23,23,1,1120031
4.2,13,13,1,1120038
4.2,299,598,2,1120265
0,0,0,1,1120539
3,203,203,1,1120626
3.4,98.5,197,2,1121241
4.2,34,136,4,1121243
3.6,8,16,2,1121875
4.5,393,393,1,1122395
4.25,30,60,2,1122619
4.4,84,84,1,1122732
4.75,18.5,37,2,1122736
4.1,113,226,2,1122833
4.25,30,60,2,1122865
4.7,295.5,591,2,1123251
4.9,41,41,1,1139389
4.5,368,368,1,1139498
3.83,629.14,4404,7,1139637
4.3,760,760,1,1139942
3.5,162,486,3,1140745
4,104,104,1,1140774
4,349,698,2,1142116
4.35,1059,2118,2,1142132
4.6,126,378,3,1142567
4.2,199.5,798,4,1142743
4.6,21,21,1,1142960
3.7,17,17,1,1143139
3.7,44,44,1,1143582
4.5,241,241,1,1143865
4.3,249,249,1,1144544
3.9,422.5,1690,4,1145333
4.5,525,525,1,1145420
4.1,137.5,550,4,1145606
4.05,232.5,465,2,1165431
4.3,137,274,2,1165545
2.15,147,588,4,1165635
4.5,248,496,2,1165799
3.7,69,138,2,1166473
4.35,19,38,2,1166474
3,261,783,3,1166821
0,0,0,1,1167169
4.25,27,108,4,1167172
4.4,266,532,2,1167291
4.1,225.67,677,3,1167763
4.2,114,228,2,1168049
4.5,49,49,1,1168722
4.5,731,731,1,1171723
4.4,313,939,3,1172336
1.98,42.67,256,6,1193131
4.4,428,856,2,1193489
4.1,44,88,2,1193740
3.7,11,22,2,1193760
4.5,15,45,3,1194239
4.3,1482,2964,2,1194922
3.93,359,1077,3,1194932
4.2,652,1304,2,1196305
4.7,561,1683,3,1196442
4.23,1500.5,9003,6,1196614
4.55,2710.5,5421,2,1196816
4.1,197,788,4,1197306
4.22,263,1052,4,1198093
3.65,454.5,909,2,1216154
4.4,136,136,1,1222562
4.3,71,71,1,1222611
4.2,35,35,1,1223250
3.4,57,57,1,1223576
4.6,406,406,1,1224303
3,203,203,1,1224624
3.4,228.5,1828,8,1225256
4.65,275,550,2,1225937
3.85,130,260,2,1226430
5,4,4,1,1226532
4.2,180,180,1,1226628
4.6,414,828,2,1226923
4.7,219,438,2,1226935
4.5,232,232,1,1227658
4.4,4124,16496,4,1228221
3.9,849,5094,6,1242757
4.3,157,157,1,1242927
3.83,629.14,4404,7,1243549
4.1,514,1028,2,1243941
4.7,318,318,1,1245171
4.6,148,296,2,1245191
3.23,165,990,6,1245246
4.5,974,974,1,1245300
4.5,2,6,3,1245673
4.2,118,118,1,1246262
3.9,207,621,3,1246771
4.5,390,1560,4,1248488
3.4,48,48,1,1248767
3.8,76,152,2,1248852
4.75,116,232,2,1249664
1.13,6,54,9,1249761
4,70,140,2,1249768
3.4,156,312,2,1270793
4.3,59,59,1,1270938
4.3,357,1428,4,1271831
4.2,15,15,1,1272217
4.3,110,220,2,1272242
3.42,27,162,6,1272246
4.4,70,140,2,1272252
4.4,262,524,2,1272606
4.1,8,16,2,1272746
4,103,412,4,1273135
4.6,247,247,1,1273473
4,177,354,2,1275144
4.4,93,186,2,1275158
4.5,338.25,1353,4,1275219
4.1,154.33,926,6,1275444
4.7,599,599,1,1275762
4.3,513,1539,3,1276082
4,1,1,1,1276889
4.13,542.78,4885,9,1299201
3.8,112,112,1,1299537
4.2,227,227,1,1299745
4.45,276,552,2,1299842
4,102,102,1,1299847
4.3,282,282,1,1300143
4.4,194,194,1,1300822
4.5,12,24,2,1300871
4.5,555,1110,2,1301176
4.1,365,730,2,1301487
3.6,141,141,1,1302448
4,29,29,1,1302580
4.2,189,189,1,1303855
5,2,2,1,1304245
4.3,71,142,2,1304489
4.3,441,1323,3,1304898
4.35,251.5,1006,4,1305286
4.3,146,292,2,1305316
4.7,1045,1045,1,1305343
4.6,139,139,1,1305420
4.23,406,2436,6,1305825
3.9,17,17,1,1305892
4.7,3,3,1,1329843
3.2,38,38,1,1330101
4.8,197,394,2,1330889
4.1,911,911,1,1331112
4.3,1482,1482,1,1331225
4.9,20,20,1,1331447
4.2,270.5,541,2,1331472
4.2,87,87,1,1331660
4.27,291.67,875,3,1332360
3.65,274.5,549,2,1332616
4.5,143,143,1,1332670
3.95,131,262,2,1332717
4.55,407.5,815,2,1334442
4.7,41,82,2,1334497
3.9,372,744,2,1334504
3.9,33,66,2,1334960
4.4,328.5,657,2,1335179
4.2,17,17,1,1335747
4.55,696.5,1393,2,1335879
4.3,69,69,1,1335894
2.15,81.5,163,2,1335953
4.1,25,25,1,1336364
4.2,69,69,1,1336561
4.33,359,3231,9,1336958
1,1,1,1,1337179
4.4,315.5,631,2,1337580
4.6,840,840,1,1337596
3.61,325.88,2607,8,1337815
4.36,246,1230,5,1351624
4.37,203.33,610,3,1351717
4.3,306,612,2,1351957
4.3,183,549,3,1351984
4.1,325.33,1952,6,1352481
4.2,220,220,1,1353941
4,59,59,1,1354954
4.5,67,201,3,1356070
4.2,421,421,1,1356711
4.5,334,334,1,1356941
4.1,346,346,1,1357411
4.7,175,350,2,1357606
3.7,243,243,1,1357956
4.55,34.5,69,2,1358027
4.35,367,734,2,1358217
4.4,161,322,2,1358623
4.37,897,2691,3,1358636
3.9,1373,1373,1,1379248
4.04,311.43,2180,7,1379458
4.5,171,513,3,1379731
4.75,370,740,2,1379788
4.3,56,112,2,1380173
4.3,595,1190,2,1380221
4.6,10,10,1,1380524
4.3,95,95,1,1380606
0,0,0,1,1381716
4.7,22,44,2,1382022
4.3,401.67,2410,6,1382145
4.5,210,630,3,1382280
4.8,46,46,1,1382540
4.3,101,101,1,1383191
4.5,112,224,2,1383262
4.7,173.5,347,2,1383921
4,1730,3460,2,1384031
4.4,110,220,2,1403566
4.7,280,280,1,1403652
4.2,347,694,2,1403943
4.2,49,98,2,1422648
4.3,234,468,2,1422721
4.1,21,42,2,1441893
4.2,89,89,1,1441898
4.2,631,631,1,1441906
4.5,172,172,1,1442912
4.47,140.75,563,4,1443178
3.71,196.5,1572,8,1444652
4.3,222,444,2,1444674
3.2,41,41,1,1444872
0,0,0,1,1444965
4.37,208.5,1251,6,1445335
4.5,331,331,1,1445451
4.2,47,47,1,1445777
4.1,596,596,1,1445845
3.8,410,410,1,1445861
4.1,164,164,1,1446627
4.35,353,1412,4,1446680
4.7,468,468,1,1446767
4.3,285,285,1,1446770
4.7,231,462,2,1446810
4.4,175,350,2,1446902
4.2,315,315,1,1447323
4.3,74,74,1,1447363
4.35,313.5,627,2,1447643
0,0,0,6,1470908
4.3,119,119,1,1471030
4.4,114.5,229,2,1473392
4.3,192.33,1154,6,1473514
0,0,0,1,1473589
3.9,80,80,1,1474226
3.7,14,14,1,1474228
4.1,381,381,1,1474614
4.5,35,70,2,1475038
4.38,264,1056,4,1475377
4.7,1333,2666,2,1475902
4.4,234,234,1,1475925
4.1,180,180,1,1476091
4.55,81.5,163,2,1476208
4.7,231,231,1,1477114
4,287,574,2,1477297
4.5,2,2,1,1477513
4,161,483,3,1477528
3.7,12,12,1,1477634
3.9,61.5,246,4,1477822
3.12,22.2,111,5,1477845
4.53,297.33,892,3,1477940
4.5,108,216,2,1478372
4.6,487,487,1,1478565
4.5,408,816,2,1479249
4.5,338,676,2,1479275
4.4,665,665,1,1479396
4.3,476.33,1429,3,1479601
4.3,393,786,2,1479950
4.25,162.5,650,4,1479959
1.46,42.8,214,5,1488042
4.5,152,152,1,1488054
4.4,2102,2102,1,1488939
4.6,161,483,3,1489064
4.5,101,101,1,1489719
3.63,489,1467,3,1490057
4.25,212.5,850,4,1490824
4.17,168.67,1012,6,1491413
4.1,19,19,1,1492029
4.3,667,1334,2,1492163
4.3,307,921,3,1492585
4.5,533,533,1,1492765
3.7,63,63,1,1492826
4.2,694,1388,2,1492853
4.2,331,331,1,1492868
3.7,70,70,1,1493295
4.3,156,156,1,1493332
3.85,370.5,1482,4,1493350
3.7,41,41,1,1493675
4.5,2534,2534,1,1494999
4.2,180,180,1,1495003
4.5,67,67,1,1495009
4.6,350,700,2,1495075
4,12,36,3,1495393
3.77,2518.71,17631,7,1495500
3.9,312.33,2811,9,1495623
3.9,312.33,937,3,1495629
4.1,31,279,9,1495831
4.5,1494.17,8965,6,1495908
4.4,159,159,1,1496143
4.7,308,308,1,1496245
4.4,108,108,1,1513905
3.9,203,203,1,1514313
4.3,22,22,1,1514514
4.35,304,1216,4,1514664
4.2,17,51,3,1514780
4.3,147,294,2,1514802
4.4,299,299,1,1514864
4.2,330,660,2,1515745
3.9,97,194,2,1516927
4.5,414,414,1,1517231
4.45,314,628,2,1517343
3.1,8,8,1,1517532
4.43,150.33,451,3,1517789
4.5,856,1712,2,1518304
4.8,46,46,1,1518375
3.7,558.5,1117,2,1518496
4.3,130,130,1,1518594
4.8,9,9,1,1519128
4.42,136,544,4,1520683
3.5,14,14,1,1542518
4.6,148,148,1,1542917
4,125,125,1,1544318
4.2,128,256,2,1544559
4.7,1359.5,2719,2,1544705
4.4,929,929,1,1544856
4.6,126,126,1,1545541
4.2,81,162,2,1546329
4.5,108,216,2,1546681
4,2,4,2,1546696
4.6,2608,2608,1,1546717
3.6,10,20,2,1547263
4.7,49,49,1,1547590
4,158,158,1,1548272
4.35,614,3684,6,1572999
4.2,251,251,1,1573096
3.9,91,182,2,1573479
3.9,779,3116,4,1573666
4.55,1890.5,7562,4,1573847
4.5,61,122,2,1573995
4.8,25655,25655,1,1574000
4.8,25718,25718,1,1574001
4.8,25718,25718,1,1574002
4.4,337,337,1,1574564
4,158,158,1,1574620
4.2,574,574,1,1574751
4.75,316.5,633,2,1575380
4.9,103,103,1,1575636
4.3,1020,2040,2,1575716
4.55,672.5,1345,2,1576638
4.6,596,596,1,1576687
4,6,12,2,1576954
4.6,101,303,3,1577712
4.3,251,251,1,1577802
4.8,52,52,1,1578473
4.6,199,398,2,1578895
4.3,142,142,1,1579365
4.4,335,335,1,1579370
4.6,187,187,1,1579625
3.1,16,32,2,1579774
3.83,629.14,4404,7,1579789
4.3,57,57,1,1591573
4.5,102,306,3,1592201
4.4,69,138,2,1592351
4.5,72,72,1,1592606
4.4,149,298,2,1592986
4.21,93,651,7,1593077
4.2,1882,3764,2,1593122
4.4,239,239,1,1593537
4.2,491,491,1,1593657
4.6,60,60,1,1593797
4.6,60,60,1,1593798
4.4,320,640,2,1593859
3.4,466,466,1,1593938
4.3,747.67,2243,3,1594002
3.9,316,316,1,1594197
4.4,430,430,1,1594211
4.1,94,94,1,1594852
4.23,419.67,1259,3,1594881
4.9,8,16,2,1594913
4.4,50,50,1,1595798
4.1,86,172,2,1595947
4.5,181,181,1,1596802
4.5,393,786,2,1598177
3.9,221,442,2,1598225
4.25,30,60,2,1616423
4.2,50,50,1,1616518
4,64,64,1,1617250
4.2,666.5,2666,4,1617900
2.4,5.75,46,8,1618515
4.35,124.5,498,4,1618579
4.5,164,328,2,1618656
4.5,164,656,4,1618660
4.3,283,283,1,1618719
4.55,34.5,69,2,1619177
4.2,418.8,2094,5,1619550
3.14,34.29,240,7,1619627
4.4,136,136,1,1620034
4.6,303.5,607,2,1620284
4.3,51,51,1,1620335
3.93,387.67,1163,3,1620442
4.9,131,131,1,1620573
3.5,258,516,2,1620610
4.13,319.5,1917,6,1620958
4.5,508,1016,2,1621190
4.9,54,54,1,1621205
4.4,456,912,2,1621501
4.2,329.5,659,2,1621661
3.7,80,80,1,1621766
4.55,1091.5,2183,2,1622713
4.09,388.57,2720,7,1622867
4.3,32,32,1,1645648
4.5,92,92,1,1645843
4.3,34,34,1,1646198
4.4,223,223,1,1646219
3.5,215,215,1,1646292
3.85,82.5,165,2,1646879
4.1,152,152,1,1646880
4.4,115,345,3,1646977
4.3,9,9,1,1647252
3.9,1029,3087,3,1647307
4.7,305,305,1,1647385
4.4,1234,1234,1,1647557
5,2,4,2,1647713
3.91,300.44,2704,9,1647808
4.1,281,281,1,1647850
4.6,167,167,1,1647950
4.4,22,22,1,1647969
4.3,42,126,3,1648074
3.7,5,15,3,1648188
4.1,16,16,1,1648597
4.6,655,1310,2,1648605
3.5,6,6,1,1648811
4.55,70,140,2,1649129
4.2,137,137,1,1649172
4.2,1144,1144,1,1649268
4.3,152,304,2,1649402
4.5,59,59,1,1649568
3.88,78.75,630,8,1649665
4.5,134,134,1,1650064
4.1,191,191,1,1650212
4.2,893.5,3574,4,1650274
4.4,132,264,2,1675140
3.5,13,13,1,1675267
3.9,288.5,1731,6,1675565
4.6,527,1054,2,1675659
4.3,4,8,2,1675893
4.5,411,822,2,1676691
3.9,867,867,1,1676717
4.15,755.38,6043,8,1676771
4.17,168.67,1012,6,1676863
4.6,321.5,1286,4,1677226
4.05,76.5,153,2,1677434
4.03,273,1638,6,1677471
4.7,71,142,2,1678004
4.5,175,700,4,1678980
4.5,215,215,1,1679405
4.1,252,252,1,1679502
4.1,50,50,1,1679565
4.4,1873,1873,1,1680526
4.8,196,196,1,1680919
4.6,79,237,3,1681213
4.3,9,9,1,1681500
4.53,440,2640,6,1682135
4.5,633,633,1,1694688
4.5,561,561,1,1694767
4.5,1292,2584,2,1694866
4.47,421.29,2949,7,1694954
4.5,212,212,1,1696069
4.65,116.5,233,2,1696435
4.1,107,107,1,1697103
4.25,1443,8658,6,1697132
4.5,28,28,1,1697494
3.6,11,11,1,1697733
4.05,79,158,2,1697822
2.59,17.57,123,7,1698639
4,887,3548,4,1698821
5,12,12,1,1716434
4.3,40,40,1,1716608
2.25,39,78,2,1716759
5,1,2,2,1716772
4.5,67,67,1,1716822
3.7,57.25,458,8,1716955
4.4,706,706,1,1717064
3.5,330,660,2,1717263
4.6,150,300,2,1717273
4.1,185,185,1,1717312
3.9,160,640,4,1717608
3.9,201,201,1,1717917
4.4,320,640,2,1717951
4.5,647.5,1295,2,1718041
3.6,81,243,3,1718535
4.35,347,2082,6,1738099
4.5,686,1372,2,1738519
3.9,135,135,1,1739016
4.1,181.5,726,4,1739326
4.6,359,359,1,1740142
4.1,8.83,53,6,1740605
4.1,135,405,3,1740710
4.1,274,822,3,1741003
4,282,282,1,1741356
4.4,228,228,1,1741527
4.7,163,326,2,1741617
3.7,12,12,1,1741697
4.5,1022,1022,1,1741849
3.8,37,37,1,1742352
4.1,28,28,1,1742571
4.4,24,24,1,1742651
2.8,362,362,1,1742764
4.6,4249,12747,3,1742949
3.72,19.33,116,6,1742999
3.6,56,112,2,1743114
4.3,1710,6840,4,1743204
4.5,45,45,1,1743425
4.45,537,1074,2,1765705
4.4,231,462,2,1765716
4.4,926,1852,2,1765976
4.5,169,169,1,1766001
4.3,65,65,1,1766387
4.35,1559,3118,2,1766389
4.7,72,216,3,1766467
3.6,61,61,1,1767453
4.3,306,612,2,1767508
4.2,126,126,1,1767620
4,545,1090,2,1767831
5,1,1,1,1767962
4.5,601,601,1,1768303
3.9,37.25,149,4,1768647
4,80.67,242,3,1768967
4.6,59,59,1,1768994
4.2,247,247,1,1769074
4.4,24,24,1,1770127
4.4,225,450,2,1770521
4.5,1010,1010,1,1770566
4.3,665,665,1,1771594
4.3,1372,1372,1,1771664
4.65,204.5,818,4,1772039
4.7,132,264,2,1772245
4.4,9.5,38,4,1772303
4.5,34,34,1,1772307
3.6,8,16,2,1772459
4.8,21,42,2,1772551
4.4,207,414,2,1772607
4.4,6,24,4,1797826
4,48,96,2,1797882
3.36,118,590,5,1798214
4.3,70,70,1,1798497
4.5,244,244,1,1798938
4.5,164,164,1,1799043
4.2,2144,4288,2,1799063
4.19,81.5,652,8,1799585
4.5,369,369,1,1799696
4.5,398,796,2,1799794
4.4,358,358,1,1800292
4.75,32.5,130,4,1800376
4.2,793,793,1,1800448
4.6,506,1012,2,1800532
4.53,165,495,3,1800577
4.53,165,495,3,1800580
4.53,165,495,3,1800583
3.85,25.5,51,2,1800649
4.1,336,336,1,1800782
4.4,281,562,2,1801271
4.1,152,152,1,1801597
4.5,8,16,2,1801636
4.1,1090,2180,2,1802063
4.4,35,105,3,1802424
4.4,1253,1253,1,1802466
4.4,683,683,1,1803058
4.3,464,928,2,1803193
4.4,204,204,1,1803353
4.4,222,222,1,1803742
4.3,473,946,2,1804509
4.3,1036,1036,1,1804575
4.1,230,460,2,1816306
4.7,89,178,2,1816453
4.4,275.5,551,2,1816687
4.1,38,38,1,1816887
4.5,492,492,1,1816937
3.8,73,146,2,1817156
4.8,391,782,2,1817167
4.4,205,410,2,1817276
4.5,971,1942,2,1817563
4,179,179,1,1817627
4.4,165,165,1,1817678
4.6,25,25,1,1817934
4.5,483,483,1,1818414
4.37,203.33,610,3,1818511
4.4,370,370,1,1818916
4.7,108,108,1,1819196
4.6,502,502,1,1819996
4.5,368,368,1,1820435
4.4,105,105,1,1820549
4.2,496,496,1,1820597
3.77,32.33,97,3,1820618
4.3,377,377,1,1821163
4.45,188.33,1130,6,1821381
4.5,1778,3556,2,1821706
4.6,107,107,1,1821756
4.3,1128.8,5644,5,1821870
4.4,325,325,1,1822499
4.1,1127,1127,1,1822716
3.6,59,59,1,1822782
4.45,324,648,2,1823092
5,5,5,1,1823249
4.3,322,1288,4,1823377
4.2,205,205,1,1823527
4.6,937,937,1,1823586
4.2,304,912,3,1823622
4.7,769,769,1,1823680
4.6,872,1744,2,1823689
4.7,605,605,1,1840837
4.3,125,125,1,1840862
4.3,781.5,4689,6,1840958
4.3,85,85,1,1841156
2.9,12,12,1,1841170
4.7,122,122,1,1841301
3.7,251,1004,4,1841985
4.83,182.33,547,3,1842767
3.9,412,412,1,1842835
4.4,262,262,1,1843355
4.7,143,143,1,1843726
3.9,18,18,1,1843822
4.5,166,166,1,1844120
4.4,31,217,7,1844144
5,35,70,2,1844283
3.9,316,632,2,1845193
4.1,17,17,1,1845491
4.05,22,44,2,1845501
4.2,183,732,4,1845721
4.5,368,368,1,1846423
3.35,7,14,2,1846436
4.2,143,286,2,1846488
4.5,14,14,1,1846489
4.2,137,137,1,1846984
4.35,166.5,333,2,1847182
4.3,3.5,7,2,1847484
4.2,1187,1187,1,1847534
4.1,240.5,481,2,1847566
3.8,788,788,1,1848375
4.5,156,156,1,1848417
4.1,67,134,2,1868311
4.7,734,734,1,1868595
4.7,1638,3276,2,1868619
4.5,253,506,2,1868847
4.4,223,446,2,1869112
1.9,12,12,1,1869258
3.8,205,205,1,1869265
4.4,568,1704,3,1869346
4.5,108.5,868,8,1869443
4.1,1193,1193,1,1869463
3.9,29,29,1,1869711
3.9,191.5,383,2,1869774
4.7,734,1468,2,1869813
4.4,357,714,2,1869952
4.7,299,598,2,1870175
3.8,70,70,1,1873495
4,75,150,2,1874058
4.3,776,776,1,1874133
4.5,799,2397,3,1874185
4.45,13.5,27,2,1874473
4.6,171,342,2,1874539
3.91,300.44,2704,9,1875166
3.9,291.67,1750,6,1875208
4.1,407,407,1,1875357
3,3,3,1,1878441
3.7,12,12,1,1878446
5,5,5,1,1878447
4.85,11.5,23,2,1878452
4.3,20,40,2,1878459
1,3.33,10,3,1878462
4.5,8,16,2,1878464
4,8.5,34,4,1878465
1.9,9.5,19,2,1878466
4.65,16.5,66,4,1878475
4.6,9,9,1,1878479
4.3,6,6,1,1878486
5,4,4,1,1878490
3.5,20,20,1,1878493
2.34,12.4,62,5,1878494
4.7,13,13,1,1878495
3.3,12,12,1,1878503
4.4,11,22,2,1878504
3.9,18,36,2,1878507
5,7,7,1,1878515
3.74,72.88,583,8,1878741
3.92,113.2,566,5,1879164
4.28,120,480,4,1879165
4.28,120,480,4,1879167
4.1,14,14,1,1879269
4.18,341.17,2047,6,1879298
4.3,1246,1246,1,1879454
4.15,1480.5,2961,2,1879470
4,56,56,1,1879666
4.4,268,536,2,1883543
4.8,248,248,1,1883567
3.8,301,301,1,1883877
4.5,287,287,1,1884050
3.12,1349.33,8096,6,1884293
4.6,1323,1323,1,1884298
3.8,383,383,1,1884323
4.2,288.5,1154,4,1884390
4.7,51,51,1,1884826
3.9,526,1052,2,1885084
4.1,386,772,2,1887392
3.8,50,100,2,1887531
4.5,315,315,1,1887592
4.6,167,167,1,1887616
4.4,1873,1873,1,1888203
4.3,50,50,1,1888650
4.4,94,94,1,1888944
4.35,270,540,2,1891776
4.4,1322,1322,1,1892523
4.6,130,260,2,1892604
4.3,157,157,1,1892841
4.4,57,57,1,1892860
4.05,398.5,797,2,1892862
4.2,94,94,1,1893204
4.5,147,147,1,1893302
3.45,256.5,1026,4,1893362
4.4,263,263,1,1893433
3.8,59,177,3,1893474
4.8,9,9,1,1893492
4.41,51,357,7,1893555
4.2,187.5,375,2,1893601
4.1,546,1638,3,1893655
4.12,376.5,1506,4,1893928
4.5,278,834,3,1893935
4.42,1025.38,8203,8,1894000
3.9,36,72,2,1894582
3.93,9.67,29,3,1894606
4.47,125.33,376,3,1894644
4.28,120,480,4,1898062
4.5,424,1272,3,1898075
4.2,336,336,1,1898267
4.1,109.5,219,2,1898379
4.6,124,124,1,1898472
4.3,238.67,716,3,1898920
4.7,376,376,1,1899152
4.3,173,173,1,1899172
4.5,795,795,1,1899278
4.6,234,702,3,1902989
4.15,743,1486,2,1903215
3.54,217.2,1086,5,1903754
4.6,857,1714,2,1904141
4,6,12,2,1904672
4.7,51,102,2,1905245
4,782,782,1,1905411
4.4,173,173,1,1908435
3.8,13,13,1,1908500
4.67,213.33,640,3,1908616
4.3,624,1248,2,1908804
4.39,483.43,3384,7,1909063
1.62,37.25,149,4,1909522
2.25,73.5,294,4,1909523
4.6,187,187,1,1909525
4,275,275,1,1909531
2.7,69.5,139,2,1909539
3.9,189,378,2,1909713
4.1,305,305,1,1910293
4.2,164.33,493,3,1913919
3.7,93,186,2,1914170
4.6,38,76,2,1914762
4.7,68,68,1,1914850
4.32,463.25,1853,4,1914937
4.5,776,776,1,1915111
4.6,2200,2200,1,1915121
4.3,40.67,122,3,1915457
3.4,787,1574,2,1916161
4.3,99,99,1,1916219
4.3,99,99,1,1916223
4.4,3577,3577,1,1916618
0,0,0,1,1920816
3.1,52,52,1,1922019
4.3,315,315,1,1923013
4.23,96,288,3,1926508
3.6,17,17,1,1926528
3.6,17,17,1,1926569
4.5,376,376,1,1927076
3.9,121.5,486,4,1927100
4,515,515,1,1927149
3.7,5116.5,10233,2,1927556
3.7,193,193,1,1927728
4,26,26,1,1933207
3.37,361.33,1084,3,1933344
4.35,347,2082,6,1933985
3.7,111,111,1,1937118
4.2,111,111,1,1937407
4.2,5,10,2,1937785
4.2,218,436,2,1938696
2.13,13,39,3,1942304
4.2,136,136,1,1942312
4,643,1929,3,1942358
3.8,65,65,1,1942409
4.13,344.11,3097,9,1942785
3.9,130,130,1,1943390
4.3,220.5,441,2,1943508
4.4,1208,1208,1,1943629
3.9,122,122,1,1943656
4.3,414,1242,3,1947441
4.5,486,1458,3,1947515
4.4,55,110,2,1948046
4.4,191,191,1,1948112
4.7,344,344,1,1948155
4.13,350,2100,6,1948443
3.8,17,34,2,1948511
4.4,107,107,1,1948592
4.5,91,182,2,1948847
4,87,87,1,1953633
4.65,213.5,854,4,1953695
4.4,298,596,2,1953757
4.62,492.5,1970,4,1953900
4.2,70,140,2,1954065
4.1,223,223,1,1954838
4.4,1139,3417,3,1958864
4.6,24,24,1,1959000
4.1,14,28,2,1959029
4.2,1679,3358,2,1959149
4.1,25,25,1,1959341
3.4,340,680,2,1959502
3.8,30,30,1,1960023
4.23,247,741,3,1960118
4.6,840,1680,2,1960180
4.5,3525,14100,4,1963277
4.7,47,47,1,1963511
2.7,32,32,1,1963536
2.7,32,32,1,1963537
3.8,184,552,3,1963679
3.9,413,413,1,1963864
4.3,760,1520,2,1964229
4.7,1499.75,5999,4,1964310
3.9,312.33,937,3,1964458
3.5,23,46,2,1964634
3.2,14,28,2,1964648
3.73,60.57,424,7,1964652
2.8,17,34,2,1964658
4.5,21,21,1,1964660
3.9,15,15,1,1964807
4.6,3332,6664,2,1964839
4.4,673,673,1,1965180
4.7,123,246,2,1968756
4.5,643.5,1287,2,1968878
3.9,547,1094,2,1968904
4,32,32,1,1969227
4.5,384,384,1,1969388
4.5,1243,4972,4,1969419
4.3,91,273,3,1969627
4.2,1804,1804,1,1969710
4.1,59,59,1,1969754
4.4,196,196,1,1969808
4.6,319,319,1,1969955
3.84,497.2,2486,5,1974163
4.2,341,682,2,1974239
4.42,1025.38,8203,8,1975087
4.5,25,50,2,1975189
4.46,50.33,453,9,1975602
4.3,970.67,5824,6,1975927
4.3,476.33,1429,3,1979410
4.4,242,242,1,1979653
4,158,158,1,1979829
4.05,199,796,4,1979845
3.8,5,5,1,1979973
4.2,317,317,1,1980154
3.5,1,2,2,1980401
3.4,48,48,1,1980651
4.05,8,16,2,1980678
3.8,14,14,1,1980707
4,98,98,1,1980748
4,26,52,2,1980784
4,60,120,2,1980844
4.8,150,300,2,1980934
4.1,8,24,3,1980935
5,5,5,1,1981046
4.3,6,6,1,1981070
4.4,200,400,2,1981094
4.9,28,56,2,1981252
4.65,10,20,2,1981254
4.4,28.67,86,3,1981256
4.45,14.5,29,2,1981286
5,3,6,2,1981471
4.4,10,20,2,1981517
4.3,41,164,4,1981546
4.1,14,14,1,1981570
4.4,14,14,1,1981572
4.3,9,9,1,1981588
4.58,6.6,33,5,1981657
2.55,11,22,2,1981701
4.35,7,28,4,1981771
3.7,12,12,1,1981781
2.8,25,75,3,1981795
4.3,17,34,2,1981800
4.8,13.5,54,4,1981815
4.7,6,6,1,1981878
5,10,20,2,1981887
4.66,7.33,66,9,1981894
4.3,19,19,1,1981896
5,4,4,1,1981906
4.7,87,87,1,1981908
4.4,49,49,1,1981927
4.55,18.5,74,4,1981949
3.1,7,7,1,1981963
4.1,16,32,2,1982055
2,59,59,1,1982068
2.75,2.5,5,2,1982133
4.6,12.5,25,2,1982146
4.4,1550,1550,1,1984969
3.7,52,52,1,1985216
0,0,0,2,1985220
4.4,161,483,3,1985536
3.3,124,248,2,1985572
3.1,16,16,1,1985616
4.7,68,68,1,1985818
4.5,438,1314,3,1986222
3.7,94,470,5,1986439
4.7,330,330,1,1986445
4.45,177,354,2,1986793
4.4,158,474,3,1986871
4.5,8,8,1,1987115
4.4,889,889,1,1987119
4.4,697,1394,2,1990912
4.5,192,192,1,1991375
4.3,141,141,1,1991748
