Average of Ratings,Average Number of Reviews,Total Number of Reviews,Total Returned,Data License
4.2,87.0,87,1,14591.0
4.6,8947.0,8947,1,14616.0
3.5,474.0,948,2,14622.0
4.6,678.0,678,1,14627.0
3.6,198.0,594,3,14709.0
4.3,300.0,600,2,14889.0
4.5,138.0,138,1,14891.0
4.2,124.0,372,3,15125.0
4.4,312.0,936,3,15136.0
4.4,879.0,2637,3,15153.0
4.2,172.0,172,1,15259.0
4.5,251.0,502,2,15281.0
4.6,282.0,564,2,15456.0
4.0,117.0,117,1,15531.0
3.7,207.0,621,3,15575.0
4.28,887.0,7096,8,15622.0
4.5,2.0,4,2,15637.0
4.6,91.0,91,1,15783.0
2.95,115.5,231,2,15786.0
2.1,122.0,122,1,15790.0
3.7,3.0,3,1,15878.0
4.3,366.0,366,1,15888.0
4.2,306.0,612,2,15956.0
4.0,349.0,698,2,16310.0
4.3,1247.0,2494,2,16411.0
4.3,215.0,215,1,16735.0
4.6,266.0,266,1,16739.0
3.9,554.0,554,1,16823.0
4.5,80.0,80,1,16986.0
4.5,385.0,385,1,17186.0
4.0,890.0,1780,2,17234.0
3.97,377.67,2266,6,17434.0
2.23,125.29,877,7,17464.0
4.3,648.0,1296,2,17636.0
4.3,648.0,1296,2,17639.0
3.95,114.17,685,6,17726.0
4.4,35.0,35,1,17938.0
4.3,271.0,271,1,17961.0
4.2,184.0,184,1,18082.0
4.4,568.0,1136,2,18135.0
2.67,73.67,442,6,18172.0
4.3,940.0,940,1,18219.0
5.0,3.0,3,1,18231.0
2.95,13.0,26,2,18236.0
4.5,600.0,600,1,18237.0
4.3,51.0,51,1,18241.0
3.7,181.0,362,2,18271.0
3.7,181.0,181,1,18272.0
1.95,2.17,13,6,18365.0
4.6,61.0,61,1,18816.0
4.5,100.0,300,3,18872.0
4.7,173.5,347,2,18973.0
3.8,45.0,90,2,19012.0
4.1,212.0,212,1,19267.0
4.3,706.0,706,1,19347.0
4.4,317.0,317,1,19419.0
4.1,776.0,776,1,19524.0
3.97,167.67,503,3,19826.0
4.2,692.0,692,1,19834.0
4.4,946.0,946,1,19856.0
4.3,145.0,725,5,19862.0
4.1,45.0,90,2,20068.0
4.2,336.0,336,1,20184.0
3.95,866.75,6934,8,20432.0
5.0,1.0,1,1,20440.0
4.1,210.0,210,1,20613.0
4.0,69.0,138,2,20717.0
4.47,436.5,1746,4,20789.0
3.9,459.0,918,2,20973.0
4.4,881.0,881,1,21159.0
2.95,115.5,231,2,21164.0
4.9,8.0,16,2,21262.0
4.2,164.0,164,1,21275.0
4.6,25.0,25,1,21387.0
3.17,66.57,466,7,21478.0
4.25,445.75,1783,4,21539.0
4.4,265.0,530,2,21547.0
3.2,32.0,64,2,21565.0
3.8,183.0,183,1,21595.0
2.9,189.0,189,1,21772.0
2.9,189.0,189,1,21773.0
3.05,520.5,2082,4,21793.0
4.9,7.0,7,1,21803.0
4.7,188.0,376,2,21943.0
4.25,444.0,888,2,22003.0
3.4,12.0,12,1,22031.0
2.5,11.0,33,3,22041.0
2.7,7.0,7,1,22061.0
0.0,0.0,0,1,22062.0
4.4,23.0,46,2,22071.0
4.0,53.0,53,1,22081.0
4.2,14.0,14,1,22091.0
4.0,8.0,16,2,22121.0
4.0,22.0,22,1,22141.0
4.5,26.0,26,1,22171.0
3.45,8.0,16,2,22191.0
4.1,13.0,39,3,22201.0
3.6,25.0,50,2,22211.0
3.9,13.0,13,1,22221.0
3.2,30.0,30,1,22261.0
4.2,18.0,18,1,22281.0
2.6,26.0,52,2,22301.0
4.55,14.5,29,2,22311.0
3.9,28.0,28,1,22321.0
4.2,15.0,30,2,22351.0
4.0,19.0,19,1,22391.0
4.05,20.5,41,2,22401.0
3.9,14.0,14,1,22421.0
4.5,16.0,16,1,22481.0
4.1,10.0,10,1,22501.0
3.9,26.0,26,1,22521.0
4.3,26.0,26,1,22531.0
4.1,9.0,18,2,22571.0
4.05,9.5,57,6,22573.0
4.4,9.0,9,1,22611.0
2.6,11.0,11,1,22621.0
2.7,3.0,6,2,22651.0
4.1,31.0,62,2,22661.0
4.28,255.75,1023,4,22662.0
3.7,9.0,18,2,22671.0
4.5,476.0,952,2,22676.0
3.8,10.0,10,1,22681.0
3.7,106.0,106,1,22697.0
4.3,19.0,19,1,22702.0
4.3,21.0,21,1,22706.0
4.65,270.0,540,2,22709.0
4.42,111.5,446,4,22721.0
3.2,34.0,34,1,22751.0
2.3,17.0,17,1,22761.0
4.0,15.0,15,1,22801.0
4.0,1352.0,2704,2,22811.0
4.6,14.0,14,1,22821.0
3.0,7.0,7,1,22831.0
4.7,10.0,10,1,22832.0
3.7,10.0,20,2,22851.0
3.5,20.0,20,1,22871.0
2.47,15.0,45,3,22881.0
4.1,13.0,13,1,22891.0
4.5,73.0,73,1,22897.0
3.85,17.0,34,2,22901.0
4.25,708.5,1417,2,22926.0
4.4,281.0,562,2,22936.0
4.2,19.0,19,1,22941.0
4.3,215.0,215,1,22952.0
4.9,132.0,132,1,22997.0
3.2,14.0,14,1,23001.0
2.16,1.56,14,9,23021.0
3.7,22.0,22,1,23041.0
3.8,14.0,14,1,23101.0
3.0,12.0,12,1,23131.0
1.7,2.5,5,2,23141.0
3.8,17.0,17,1,23161.0
3.03,35.0,245,7,23211.0
4.03,159.5,638,4,23225.0
3.7,17.0,17,1,23261.0
3.7,9.0,9,1,23271.0
3.5,23.0,23,1,23291.0
3.3,14.0,28,2,23301.0
3.4,32.0,32,1,23311.0
3.2,14.0,14,1,23325.0
3.7,104.0,104,1,23327.0
3.8,92.0,92,1,23333.0
4.8,24.0,24,1,23341.0
4.6,326.0,326,1,23363.0
4.2,296.0,296,1,23369.0
3.3,7.0,7,1,23411.0
5.0,1.0,1,1,23441.0
3.6,10.0,10,1,23461.0
4.1,10.0,10,1,23462.0
4.23,16.0,96,6,23491.0
4.1,211.0,422,2,23496.0
3.7,13.0,13,1,23501.0
3.2,14.0,28,2,23531.0
4.9,15.0,30,2,23551.0
4.5,16.0,16,1,23561.0
4.48,7.8,39,5,23562.0
4.5,456.0,456,1,23577.0
4.2,25.0,25,1,23591.0
3.7,23.0,46,2,23611.0
3.0,1.0,1,1,23612.0
4.35,270.0,540,2,23619.0
3.9,36.0,72,2,23621.0
4.15,22.0,44,2,23641.0
